# Region type : patch outlet
# Faces  :   1804
# Area   :   7.100642e-03
# Time       	sum(phi)
0.05425      	2.836253e-02
0.0543       	2.836254e-02
0.05435      	2.836255e-02
0.0544       	2.836256e-02
0.05445      	2.836257e-02
0.0545       	2.836257e-02
0.05455      	2.836258e-02
0.0546       	2.836259e-02
0.05465      	2.836259e-02
0.0547       	2.836260e-02
0.05475      	2.836261e-02
0.0548       	2.836259e-02
0.05485      	2.836259e-02
0.0549       	2.836260e-02
0.05495      	2.836261e-02
0.055        	2.836260e-02
0.05505      	2.836262e-02
0.0551       	2.836260e-02
0.05515      	2.836260e-02
0.0552       	2.836261e-02
0.05525      	2.836260e-02
0.0553       	2.836261e-02
0.05535      	2.836261e-02
0.0554       	2.836261e-02
0.05545      	2.836262e-02
0.0555       	2.836261e-02
0.05555      	2.836261e-02
0.0556       	2.836261e-02
0.05565      	2.836261e-02
0.0557       	2.836261e-02
0.05575      	2.836262e-02
0.0558       	2.836261e-02
0.05585      	2.836261e-02
0.0559       	2.836261e-02
0.05595      	2.836262e-02
0.056        	2.836260e-02
0.05605      	2.836259e-02
0.0561       	2.836261e-02
0.05615      	2.836260e-02
0.0562       	2.836264e-02
0.05625      	2.836261e-02
0.0563       	2.836260e-02
0.05635      	2.836261e-02
0.0564       	2.836261e-02
0.05645      	2.836261e-02
0.0565       	2.836260e-02
0.05655      	2.836261e-02
0.0566       	2.836261e-02
0.05665      	2.836262e-02
0.0567       	2.836262e-02
0.05675      	2.836261e-02
0.0568       	2.836261e-02
0.05685      	2.836261e-02
0.0569       	2.836261e-02
0.05695      	2.836262e-02
0.057        	2.836261e-02
0.05705      	2.836261e-02
0.0571       	2.836260e-02
0.05715      	2.836262e-02
0.0572       	2.836261e-02
0.05725      	2.836262e-02
0.0573       	2.836262e-02
0.05735      	2.836264e-02
0.0574       	2.836261e-02
0.05745      	2.836262e-02
0.0575       	2.836263e-02
0.05755      	2.836262e-02
0.0576       	2.836263e-02
0.05765      	2.836262e-02
0.0577       	2.836262e-02
0.05775      	2.836263e-02
0.0578       	2.836263e-02
0.05785      	2.836263e-02
0.0579       	2.836265e-02
0.05795      	2.836263e-02
0.058        	2.836263e-02
0.05805      	2.836265e-02
0.0581       	2.836263e-02
0.05815      	2.836264e-02
0.0582       	2.836262e-02
0.05825      	2.836262e-02
0.0583       	2.836262e-02
0.05835      	2.836263e-02
0.0584       	2.836261e-02
0.05845      	2.836262e-02
0.0585       	2.836263e-02
0.05855      	2.836262e-02
0.0586       	2.836264e-02
0.05865      	2.836263e-02
0.0587       	2.836263e-02
0.05875      	2.836265e-02
0.0588       	2.836263e-02
0.05885      	2.836263e-02
0.0589       	2.836265e-02
0.05895      	2.836266e-02
0.059        	2.836264e-02
0.05905      	2.836264e-02
0.0591       	2.836264e-02
0.05915      	2.836263e-02
0.0592       	2.836264e-02
0.05925      	2.836263e-02
0.0593       	2.836264e-02
0.05935      	2.836263e-02
0.0594       	2.836263e-02
0.05945      	2.836263e-02
0.0595       	2.836265e-02
0.05955      	2.836262e-02
0.0596       	2.836262e-02
0.05965      	2.836263e-02
0.0597       	2.836262e-02
0.05975      	2.836263e-02
0.0598       	2.836266e-02
0.05985      	2.836263e-02
0.0599       	2.836264e-02
0.05995      	2.836264e-02
0.06         	2.836266e-02
0.06005      	2.836264e-02
0.0601       	2.836263e-02
0.06015      	2.836262e-02
0.0602       	2.836263e-02
0.06025      	2.836264e-02
0.0603       	2.836263e-02
0.06035      	2.836261e-02
0.0604       	2.836261e-02
0.06045      	2.836261e-02
0.0605       	2.836262e-02
0.06055      	2.836262e-02
0.0606       	2.836262e-02
0.06065      	2.836264e-02
0.0607       	2.836261e-02
0.06075      	2.836260e-02
0.0608       	2.836261e-02
